Anfangszeit;Temperatur;Druck;Feuchte;Windgeschwindigkeit;Windrichtung
2024-11-27T06:00:00+01:00;2.796667;983.21;84.07;1.993333;117.016934
2024-11-27T05:30:00+01:00;2.646667;983.23;84.323333;1.666667;114.513207
2024-11-27T05:00:00+01:00;2.626667;983.183333;84.78;2.493333;116.786761
2024-11-27T04:30:00+01:00;2.79;983.176667;84.506667;2.38;120.63757
2024-11-27T04:00:00+01:00;3.133333;983.166667;84.116667;1.986667;116.129407
2024-11-27T03:30:00+01:00;3.376667;983.17;83.88;2.066667;121.637386
2024-11-27T03:00:00+01:00;3.6;983.296667;83.77;2.57;119.012014
2024-11-27T02:30:00+01:00;3.783333;983.286667;83.646667;2.296667;115.18723
2024-11-27T02:00:00+01:00;3.933333;983.286667;83.36;1.916667;113.720951
2024-11-27T01:30:00+01:00;3.96;983.313333;82.723333;1.596667;120.712531
2024-11-27T01:00:00+01:00;4.05;983.31;82.35;1.526667;123.441104
2024-11-27T00:30:00+01:00;4.15;983.363333;82.036667;1.856667;120.072484
2024-11-26T23:30:00+01:00;4.296667;983.506667;82.07;2.55;116.125111
2024-11-26T17:30:00+01:00;7.846667;983.44;73.793333;1.8;123.400918
2024-11-26T16:30:00+01:00;9.64;983.093333;67.98;1.346667;232.630667
2024-11-26T10:00:00+01:00;8.366667;982.516667;77.976667;1.366667;136.208691
2024-11-26T09:30:00+01:00;7.28;982.426667;81.566667;1.006667;124.714054
2024-11-26T09:00:00+01:00;5.943333;982.363333;85.443333;1.536667;123.490655
2024-11-26T08:30:00+01:00;5.473333;982.143333;86.386667;2.203333;121.041986
2024-11-26T08:00:00+01:00;5.87931;981.882759;85.006897;1.086207;117.734357
2024-11-26T07:30:00+01:00;6.496667;981.636667;84.74;0.616667;181.760005
2024-11-26T07:00:00+01:00;7.066667;981.416667;84.986667;0.706667;117.721067
2024-11-26T06:30:00+01:00;7.26;981.226667;85.303333;1.44;124.129548
2024-11-26T06:00:00+01:00;7.62;981.096667;84.663333;1.313333;135.426905
2024-11-26T05:30:00+01:00;7.78;980.85;84.393333;1.533333;121.576776
2024-11-26T05:00:00+01:00;8.066667;980.54;83.59;0.663333;145.130376
2024-11-26T04:30:00+01:00;8.213333;980.376667;83.553333;1.483333;121.336119
2024-11-26T04:00:00+01:00;8.483333;979.823333;82.013333;0.87;114.83298
2024-11-26T03:30:00+01:00;8.656667;979.866667;81.163333;0.876667;229.085921
2024-11-26T03:00:00+01:00;9.29;979.38;77.67;2.803333;123.674744
2024-11-26T02:30:00+01:00;9.416667;979.183333;76.473333;3.586667;116.273658
2024-11-26T02:00:00+01:00;9.683333;978.99;73.966667;3.793333;120.458391
2024-11-26T01:30:00+01:00;10.133333;978.733333;71.446667;2.263333;159.863748
2024-11-26T01:00:00+01:00;10.483333;978.396667;78.12;2.333333;290.803698
2024-11-26T00:30:00+01:00;10.55;977.716667;79.123333;1.65;282.446291
2024-11-26T00:00:00+01:00;10.18;977.18;80.746667;1.453333;309.853491
2024-11-25T23:30:00+01:00;8.84;976.673333;85.966667;2.286667;318.380178
2024-11-25T23:00:00+01:00;8.15;976.16;86.356667;1.736667;116.741584
2024-11-25T22:30:00+01:00;7.89;975.83;85.61;2.016667;112.272482
2024-11-25T22:00:00+01:00;7.66;975.436667;83.703333;1.616667;120.921343
2024-11-25T21:30:00+01:00;7.76;975.196667;80.836667;1.706667;111.591031
2024-11-25T21:00:00+01:00;7.89;974.923333;78.21;2.46;114.696056
2024-11-25T20:30:00+01:00;7.566667;974.156667;76.033333;1.323333;51.425007
2024-11-25T20:00:00+01:00;8.18;973.7;70.25;1.21;105.725827
2024-11-25T19:30:00+01:00;8.443333;972.966667;69.093333;2.03;314.320907
2024-11-25T19:00:00+01:00;8.033333;972.656667;68.786667;0.946667;271.287339
2024-11-25T18:30:00+01:00;7.906667;972.29;68.336667;1.343333;130.07016
2024-11-25T18:00:00+01:00;8.113333;972.156667;67.93;1.88;119.896747
2024-11-25T17:30:00+01:00;8.176667;971.933333;67.84;2.38;116.427134
2024-11-25T17:00:00+01:00;8.766667;971.836667;64.42;1.21;116.978088
2024-11-25T16:30:00+01:00;8.876667;971.603333;63.95;1.0;134.854544
2024-11-25T16:00:00+01:00;9.32;971.326667;63.04;1.34;108.832883
2024-11-25T15:30:00+01:00;9.833333;970.823333;62.19;1.016667;254.727778
2024-11-25T15:00:00+01:00;10.176667;970.613333;60.236667;0.976667;257.608102
2024-11-25T14:30:00+01:00;11.11;970.75;55.956667;0.87;263.766169
2024-11-25T14:00:00+01:00;11.386667;970.956667;54.013333;1.523333;311.784116
2024-11-25T13:30:00+01:00;11.183333;971.206667;54.41;1.796667;285.671532
2024-11-25T13:00:00+01:00;12.086667;971.423333;50.703333;1.193333;276.030694
2024-11-25T12:30:00+01:00;12.743333;972.033333;47.42;2.313333;297.468837
2024-11-25T12:00:00+01:00;12.933333;972.21;46.796667;3.306667;299.651669
2024-11-25T11:30:00+01:00;12.25;972.493333;47.6;3.343333;295.265726
2024-11-25T11:00:00+01:00;10.14;972.943333;54.663333;3.42;310.62902
2024-11-25T10:30:00+01:00;9.506897;973.027586;58.075862;2.227586;315.655507
2024-11-25T10:00:00+01:00;9.076667;973.633333;59.793333;0.69;132.907781
2024-11-25T09:30:00+01:00;7.703333;974.306667;63.446667;0.8;95.138155
2024-11-25T09:00:00+01:00;6.463333;974.756667;66.19;1.356667;333.010868
2024-11-25T08:30:00+01:00;4.91;974.96;71.853333;2.033333;305.673591
2024-11-25T08:00:00+01:00;3.71;974.933333;76.273333;1.426667;280.794755
2024-11-25T07:30:00+01:00;2.096667;975.21;80.556667;1.063333;322.215992
2024-11-25T07:00:00+01:00;1.746667;975.483333;80.83;1.426667;118.593829
2024-11-25T06:30:00+01:00;1.956667;975.563333;80.48;1.766667;114.616938
2024-11-25T06:00:00+01:00;2.266667;975.863333;79.773333;0.683333;133.202612
2024-11-25T05:30:00+01:00;2.266667;976.066667;79.56;1.136667;114.306455
