Jahr;BFS_Nummer;Gemeinde;Zimmerzahl;Leer_stehende_Wohnungen
2023;2761;Aesch (BL);1;0
2023;2761;Aesch (BL);2;1
2023;2761;Aesch (BL);3;17
2023;2761;Aesch (BL);4;24
2023;2761;Aesch (BL);5;5
2023;2761;Aesch (BL);6+;0
2023;2762;Allschwil;1;4
2023;2762;Allschwil;2;14
2023;2762;Allschwil;3;76
2023;2762;Allschwil;4;15
2023;2762;Allschwil;5;4
2023;2762;Allschwil;6+;2
2023;2763;Arlesheim;1;0
2023;2763;Arlesheim;2;4
2023;2763;Arlesheim;3;20
2023;2763;Arlesheim;4;14
2023;2763;Arlesheim;5;4
2023;2763;Arlesheim;6+;0
2023;2764;Biel-Benken;1;0
2023;2764;Biel-Benken;2;0
2023;2764;Biel-Benken;3;1
2023;2764;Biel-Benken;4;1
2023;2764;Biel-Benken;5;1
2023;2764;Biel-Benken;6+;0
2023;2765;Binningen;1;6
2023;2765;Binningen;2;9
2023;2765;Binningen;3;37
2023;2765;Binningen;4;15
2023;2765;Binningen;5;5
2023;2765;Binningen;6+;3
2023;2766;Birsfelden;1;1
2023;2766;Birsfelden;2;12
2023;2766;Birsfelden;3;21
2023;2766;Birsfelden;4;22
2023;2766;Birsfelden;5;0
2023;2766;Birsfelden;6+;0
2023;2767;Bottmingen;1;0
2023;2767;Bottmingen;2;6
2023;2767;Bottmingen;3;11
2023;2767;Bottmingen;4;7
2023;2767;Bottmingen;5;1
2023;2767;Bottmingen;6+;2
2023;2768;Ettingen;1;0
2023;2768;Ettingen;2;6
2023;2768;Ettingen;3;16
2023;2768;Ettingen;4;10
2023;2768;Ettingen;5;3
2023;2768;Ettingen;6+;0
2023;2769;Münchenstein;1;1
2023;2769;Münchenstein;2;35
2023;2769;Münchenstein;3;48
2023;2769;Münchenstein;4;20
2023;2769;Münchenstein;5;0
2023;2769;Münchenstein;6+;1
2023;2770;Muttenz;1;1
2023;2770;Muttenz;2;7
2023;2770;Muttenz;3;32
2023;2770;Muttenz;4;13
2023;2770;Muttenz;5;7
2023;2770;Muttenz;6+;0
2023;2771;Oberwil (BL);1;2
2023;2771;Oberwil (BL);2;7
2023;2771;Oberwil (BL);3;24
2023;2771;Oberwil (BL);4;21
2023;2771;Oberwil (BL);5;7
2023;2771;Oberwil (BL);6+;3
2023;2772;Pfeffingen;1;0
2023;2772;Pfeffingen;2;2
2023;2772;Pfeffingen;3;5
2023;2772;Pfeffingen;4;2
2023;2772;Pfeffingen;5;0
2023;2772;Pfeffingen;6+;1
2023;2773;Reinach (BL);1;2
2023;2773;Reinach (BL);2;12
2023;2773;Reinach (BL);3;33
2023;2773;Reinach (BL);4;39
2023;2773;Reinach (BL);5;8
2023;2773;Reinach (BL);6+;4
2023;2774;Schönenbuch;1;0
2023;2774;Schönenbuch;2;0
2023;2774;Schönenbuch;3;1
2023;2774;Schönenbuch;4;1
2023;2774;Schönenbuch;5;1
2023;2774;Schönenbuch;6+;0
2023;2775;Therwil;1;0
2023;2775;Therwil;2;0
2023;2775;Therwil;3;14
2023;2775;Therwil;4;10
2023;2775;Therwil;5;3
2023;2775;Therwil;6+;2
2023;2781;Blauen;1;0
2023;2781;Blauen;2;0
2023;2781;Blauen;3;0
2023;2781;Blauen;4;0
2023;2781;Blauen;5;0
2023;2781;Blauen;6+;1
2023;2782;Brislach;1;0
2023;2782;Brislach;2;1
2023;2782;Brislach;3;1
