date;station/location;station_name;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;sre000m0;tre200m0;tre200mn;tre200mx;ure200m0
2024-11-01;BAS;Basel / Binningen;54;2;72;984.7;53.5;5349;6.2;-4.4;16.1;84.3
2024-10-01;BAS;Basel / Binningen;80;0;76;980.0;81.4;4917;12.9;4.8;21.8;85.8
2024-09-01;BAS;Basel / Binningen;139;0;69;978.5;81.2;7705;15.6;3.8;32.1;78.2
2024-08-01;BAS;Basel / Binningen;247;0;48;979.3;25.8;17098;22.2;10.3;35.4;68.7
2024-07-01;BAS;Basel / Binningen;247;0;59;979.0;62.2;13519;21.0;12.6;34.5;70.5
2024-06-01;BAS;Basel / Binningen;216;0;76;977.6;76.4;9151;18.7;8.3;32.2;73.4
2024-05-01;BAS;Basel / Binningen;198;0;76;976.4;166.7;9188;14.9;6.3;27.1;75.0
2024-04-01;BAS;Basel / Binningen;161;0;80;979.1;39.3;7279;11.1;0.4;28.8;68.6
2024-03-01;BAS;Basel / Binningen;120;0;81;972.5;78.6;6598;9.3;1.4;20.5;74.2
2024-02-01;BAS;Basel / Binningen;69;0;83;978.4;31.2;3368;8.2;0.3;14.6;76.2
2024-01-01;BAS;Basel / Binningen;44;1;79;982.8;75.0;3760;3.1;-8.9;14.9;81.3
2023-12-01;BAS;Basel / Binningen;34;1;80;980.7;52.8;3408;5.2;-7.4;14.0;81.1
2023-11-01;BAS;Basel / Binningen;38;0;82;973.7;124.1;2345;7.3;-1.8;18.2;79.7
2023-10-01;BAS;Basel / Binningen;102;0;67;976.3;67.4;7879;14.0;1.5;28.7;73.7
2023-09-01;BAS;Basel / Binningen;194;0;52;980.9;38.0;14988;19.4;7.0;31.7;70.6
2023-08-01;BAS;Basel / Binningen;196;0;63;978.8;104.4;11344;21.0;10.1;36.4;69.7
2023-07-01;BAS;Basel / Binningen;251;0;59;978.8;73.0;14066;21.2;12.2;34.9;65.0
2023-06-01;BAS;Basel / Binningen;301;0;42;978.8;74.5;19452;21.1;9.5;32.7;57.0
2023-05-01;BAS;Basel / Binningen;221;0;69;980.2;53.9;11341;15.2;4.5;26.9;71.3
2023-04-01;BAS;Basel / Binningen;160;0;81;978.5;69.5;6752;9.6;-1.8;21.4;72.1
2023-03-01;BAS;Basel / Binningen;120;0;77;976.1;71.2;6673;8.4;-3.3;23.4;66.4
2023-02-01;BAS;Basel / Binningen;84;0;57;989.7;9.9;6914;4.7;-6.1;16.7;73.5
2023-01-01;BAS;Basel / Binningen;33;0;87;981.4;36.5;2185;4.3;-5.9;17.1;80.2
2022-12-01;BAS;Basel / Binningen;32;2;82;978.1;58.7;2446;3.5;-9.1;16.7;85.4
2022-11-01;BAS;Basel / Binningen;52;0;82;978.6;63.8;3283;8.3;1.3;18.0;83.8
2022-10-01;BAS;Basel / Binningen;101;0;70;983.5;53.2;8172;15.0;6.9;24.4;82.7
2022-09-01;BAS;Basel / Binningen;149;0;64;977.5;129.4;9144;15.2;4.0;28.5;77.4
2022-08-01;BAS;Basel / Binningen;239;0;51;979.2;105.1;16409;21.9;12.1;36.7;62.5
2022-07-01;BAS;Basel / Binningen;306;0;36;983.1;50.1;21074;22.3;10.5;36.5;55.9
2022-06-01;BAS;Basel / Binningen;264;0;53;979.5;92.4;15013;20.6;9.8;35.5;66.3
2022-05-01;BAS;Basel / Binningen;252;0;63;981.1;51.7;15083;17.0;5.5;32.7;66.0
2022-04-01;BAS;Basel / Binningen;198;0;68;976.5;87.1;11605;10.4;-2.7;23.1;65.2
2022-03-01;BAS;Basel / Binningen;166;0;41;984.1;39.3;13296;7.9;-4.8;21.7;57.1
2022-02-01;BAS;Basel / Binningen;88;0;64;984.6;44.1;6925;6.1;-3.3;17.9;69.1
2022-01-01;BAS;Basel / Binningen;50;0;70;989.0;20.5;4673;2.3;-5.7;18.7;81.5
2021-12-01;BAS;Basel / Binningen;33;0;79;979.3;72.1;2919;3.9;-3.8;15.9;85.2
2021-11-01;BAS;Basel / Binningen;41;0;84;979.6;27.8;2373;4.4;-2.1;13.5;87.2
2021-10-01;BAS;Basel / Binningen;111;0;61;982.9;46.9;9428;10.4;1.5;23.9;81.3
2021-09-01;BAS;Basel / Binningen;174;0;56;982.3;44.4;12796;17.1;6.4;28.0;76.9
2021-08-01;BAS;Basel / Binningen;186;0;66;980.4;46.4;9235;18.2;10.9;30.9;76.4
2021-07-01;BAS;Basel / Binningen;209;0;67;979.0;195.5;9947;18.9;12.1;28.7;77.9
2021-06-01;BAS;Basel / Binningen;252;0;69;980.5;125.8;13265;19.8;10.0;32.3;71.7
2021-05-01;BAS;Basel / Binningen;202;0;72;977.7;131.8;9697;12.0;3.2;28.6;69.2
2021-04-01;BAS;Basel / Binningen;203;0;56;980.7;34.1;12279;8.5;-2.9;24.8;60.0
2021-03-01;BAS;Basel / Binningen;136;0;63;984.9;53.3;9714;6.7;-2.4;25.0;66.5
2021-02-01;BAS;Basel / Binningen;82;2;64;981.0;33.6;6663;5.2;-11.9;19.8;72.7
2021-01-01;BAS;Basel / Binningen;34;3;87;975.2;110.2;1933;2.2;-6.1;13.8;81.3
2020-12-01;BAS;Basel / Binningen;28;0;84;972.2;68.4;1510;4.1;-3.6;16.5;84.8
2020-11-01;BAS;Basel / Binningen;63;0;57;987.2;18.0;6953;6.8;-3.0;22.5;83.2
2020-10-01;BAS;Basel / Binningen;75;0;82;977.3;106.6;3619;10.6;3.0;18.7;82.2
2020-09-01;BAS;Basel / Binningen;170;0;52;980.1;46.2;12390;17.0;5.6;30.9;72.8
2020-08-01;BAS;Basel / Binningen;204;0;58;978.0;127.9;12861;21.1;10.6;34.3;67.6
2020-07-01;BAS;Basel / Binningen;281;0;49;980.5;5.6;18183;21.3;9.6;36.5;56.1
2020-06-01;BAS;Basel / Binningen;237;0;64;977.0;79.1;11505;17.8;8.4;29.9;70.8
2020-05-01;BAS;Basel / Binningen;236;0;60;981.8;73.6;14535;14.7;3.4;27.9;65.7
2020-04-01;BAS;Basel / Binningen;243;0;36;979.0;16.8;17619;13.5;-1.5;24.8;53.4
2020-03-01;BAS;Basel / Binningen;147;0;59;979.8;47.9;10901;7.3;-3.4;19.8;64.8
2020-02-01;BAS;Basel / Binningen;83;0;72;982.2;69.8;6455;7.6;-4.3;18.3;66.6
2020-01-01;BAS;Basel / Binningen;58;0;55;988.0;16.5;6880;3.6;-4.5;15.1;80.4
2019-12-01;BAS;Basel / Binningen;38;0;70;978.3;50.9;4129;4.9;-3.9;15.5;81.1
2019-11-01;BAS;Basel / Binningen;44;0;83;969.1;55.1;2435;6.3;-0.9;17.2;83.0
2019-10-01;BAS;Basel / Binningen;84;0;76;979.1;110.3;5702;12.5;6.1;25.6;83.7
2019-09-01;BAS;Basel / Binningen;169;0;58;982.5;57.8;11825;16.1;4.9;28.9;70.5
2019-08-01;BAS;Basel / Binningen;229;0;56;980.5;108.0;14992;20.2;9.9;34.3;70.7
2019-07-01;BAS;Basel / Binningen;278;0;58;978.6;84.7;17044;21.6;9.2;37.4;60.9
2019-06-01;BAS;Basel / Binningen;271;0;51;979.4;86.2;16788;20.4;8.6;35.9;67.0
2019-05-01;BAS;Basel / Binningen;216;0;70;978.1;77.7;10727;12.2;-0.2;25.4;69.3
2019-04-01;BAS;Basel / Binningen;169;0;76;976.2;65.4;8718;9.9;0.0;25.1;70.6
2019-03-01;BAS;Basel / Binningen;143;0;57;982.9;39.5;9977;8.5;-2.3;20.6;61.8
2019-02-01;BAS;Basel / Binningen;107;0;47;986.3;28.0;10137;5.1;-4.1;19.7;69.3
2019-01-01;BAS;Basel / Binningen;43;0;81;979.9;22.2;3558;1.6;-5.9;10.1;78.4
2018-12-01;BAS;Basel / Binningen;31;0;84;984.5;99.0;2399;5.0;-4.9;15.6;82.2
2018-11-01;BAS;Basel / Binningen;50;0;73;979.2;33.7;3926;6.3;-2.4;15.4;84.5
2018-10-01;BAS;Basel / Binningen;107;0;57;980.4;41.4;9436;11.8;0.7;25.6;75.9
2018-09-01;BAS;Basel / Binningen;179;0;51;984.0;28.1;13715;17.4;2.9;30.8;67.6
2018-08-01;BAS;Basel / Binningen;227;0;54;980.6;50.6;15374;21.7;8.6;34.8;63.8
2018-07-01;BAS;Basel / Binningen;276;0;45;978.9;55.3;18666;22.4;9.9;34.5;60.3
2018-06-01;BAS;Basel / Binningen;276;0;56;979.7;47.8;16078;19.5;7.2;31.5;68.9
2018-05-01;BAS;Basel / Binningen;209;0;75;977.7;127.2;10775;16.3;6.8;27.7;72.5
2018-04-01;BAS;Basel / Binningen;216;0;60;976.1;15.0;13960;14.2;1.3;28.3;60.9
2018-03-01;BAS;Basel / Binningen;100;1;81;967.5;47.7;4505;5.2;-6.2;15.9;75.4
2018-02-01;BAS;Basel / Binningen;63;0;79;977.6;34.5;3868;0.3;-11.1;8.1;73.3
2018-01-01;BAS;Basel / Binningen;37;0;82;978.9;117.3;2728;6.3;-1.4;15.3;80.7
2017-12-01;BAS;Basel / Binningen;29;0;85;980.4;80.7;2411;3.1;-5.7;15.5;82.6
2017-11-01;BAS;Basel / Binningen;44;0;82;980.6;92.5;3142;5.7;-2.5;17.8;82.8
2017-10-01;BAS;Basel / Binningen;107;0;59;985.2;33.6;8702;12.1;-1.4;24.3;78.3
2017-09-01;BAS;Basel / Binningen;145;0;72;979.9;42.1;8289;14.3;4.5;25.7;75.7
