bfs_gde_nummer;gemeindename;raum_mit_stadtischem_charakter_2012;urb_2015_num;urb_2015;stadtische_landliche_gebiete;urb_2021;urb_same
2761;Aesch (BL);2;1;Städtischer Kernraum;1;Städtisch;TRUE
2762;Allschwil;2;1;Städtischer Kernraum;1;Städtisch;TRUE
2763;Arlesheim;2;1;Städtischer Kernraum;1;Städtisch;TRUE
2764;Biel-Benken;4;2;Einflussgebiet städtischer Kerne;2;Intermediär;TRUE
2765;Binningen;2;1;Städtischer Kernraum;1;Städtisch;TRUE
2766;Birsfelden;2;1;Städtischer Kernraum;1;Städtisch;TRUE
2767;Bottmingen;2;1;Städtischer Kernraum;1;Städtisch;TRUE
2768;Ettingen;4;2;Einflussgebiet städtischer Kerne;2;Intermediär;TRUE
2769;Münchenstein;2;1;Städtischer Kernraum;1;Städtisch;TRUE
2770;Muttenz;2;1;Städtischer Kernraum;1;Städtisch;TRUE
2771;Oberwil (BL);2;1;Städtischer Kernraum;1;Städtisch;TRUE
2772;Pfeffingen;2;1;Städtischer Kernraum;1;Städtisch;TRUE
2773;Reinach (BL);2;1;Städtischer Kernraum;1;Städtisch;TRUE
2774;Schönenbuch;4;2;Einflussgebiet städtischer Kerne;3;Ländlich;FALSE
2775;Therwil;2;1;Städtischer Kernraum;1;Städtisch;TRUE
2781;Blauen;4;2;Einflussgebiet städtischer Kerne;3;Ländlich;FALSE
2782;Brislach;4;2;Einflussgebiet städtischer Kerne;2;Intermediär;TRUE
2783;Burg im Leimental;4;2;Einflussgebiet städtischer Kerne;3;Ländlich;FALSE
2784;Dittingen;4;2;Einflussgebiet städtischer Kerne;2;Intermediär;TRUE
2785;Duggingen;4;2;Einflussgebiet städtischer Kerne;2;Intermediär;TRUE
2786;Grellingen;4;2;Einflussgebiet städtischer Kerne;2;Intermediär;TRUE
2787;Laufen;4;2;Einflussgebiet städtischer Kerne;2;Intermediär;TRUE
2788;Liesberg;0;3;Gebiete ausserhalb des Einflusses städtischer Kerne;3;Ländlich;TRUE
2789;Nenzlingen;4;2;Einflussgebiet städtischer Kerne;3;Ländlich;FALSE
2790;Roggenburg;0;3;Gebiete ausserhalb des Einflusses städtischer Kerne;3;Ländlich;TRUE
2791;Röschenz;4;2;Einflussgebiet städtischer Kerne;2;Intermediär;TRUE
