Jahr;BFS_Gemeindenummer;Gemeinde;Kategorie;Einheit;Wert
2022;2761;Aesch (BL);Glas;kg pro Einw.;27.001781027371578
2022;2761;Aesch (BL);Glas;Tonnen;288.055
2022;2761;Aesch (BL);Grüngut;kg pro Einw.;29.363517060367453
2022;2761;Aesch (BL);Grüngut;Tonnen;313.25
2022;2761;Aesch (BL);Hauskehricht + Sperrgut;kg pro Einw.;163.21522309711287
2022;2761;Aesch (BL);Hauskehricht + Sperrgut;Tonnen;1741.18
2022;2761;Aesch (BL);Kunststoffe;kg pro Einw.;0.0
2022;2761;Aesch (BL);Kunststoffe;Tonnen;0.0
2022;2761;Aesch (BL);Öle;kg pro Einw.;0.0
2022;2761;Aesch (BL);Öle;Tonnen;0.0
2022;2761;Aesch (BL);Papier + Karton;kg pro Einw.;41.11173603299587
2022;2761;Aesch (BL);Papier + Karton;Tonnen;438.58
2022;2761;Aesch (BL);übrige Metalle;kg pro Einw.;0.0
2022;2761;Aesch (BL);übrige Metalle;Tonnen;0.0
2022;2761;Aesch (BL);Weissblech + Alu;kg pro Einw.;2.041619797525309
2022;2761;Aesch (BL);Weissblech + Alu;Tonnen;21.78
2022;2762;Allschwil;Glas;kg pro Einw.;33.25996239739533
2022;2762;Allschwil;Glas;Tonnen;725.3
2022;2762;Allschwil;Grüngut;kg pro Einw.;78.05291878754528
2022;2762;Allschwil;Grüngut;Tonnen;1702.1
2022;2762;Allschwil;Hauskehricht + Sperrgut;kg pro Einw.;143.50208648599073
2022;2762;Allschwil;Hauskehricht + Sperrgut;Tonnen;3129.35
2022;2762;Allschwil;Kunststoffe;kg pro Einw.;5.988902645939376
2022;2762;Allschwil;Kunststoffe;Tonnen;130.6
2022;2762;Allschwil;Öle;kg pro Einw.;0.008712798642637685
2022;2762;Allschwil;Öle;Tonnen;0.19
2022;2762;Allschwil;Papier + Karton;kg pro Einw.;43.12514330260925
2022;2762;Allschwil;Papier + Karton;Tonnen;940.43
2022;2762;Allschwil;übrige Metalle;kg pro Einw.;0.8300087127986427
2022;2762;Allschwil;übrige Metalle;Tonnen;18.1
2022;2762;Allschwil;Weissblech + Alu;kg pro Einw.;2.9898656394735634
2022;2762;Allschwil;Weissblech + Alu;Tonnen;65.2
2022;2763;Arlesheim;Glas;kg pro Einw.;22.291867566698812
2022;2763;Arlesheim;Glas;Tonnen;208.05
2022;2763;Arlesheim;Grüngut;kg pro Einw.;17.865638058502093
2022;2763;Arlesheim;Grüngut;Tonnen;166.74
2022;2763;Arlesheim;Hauskehricht + Sperrgut;kg pro Einw.;141.15718418514948
2022;2763;Arlesheim;Hauskehricht + Sperrgut;Tonnen;1317.42
2022;2763;Arlesheim;Kunststoffe;kg pro Einw.;0.0
2022;2763;Arlesheim;Kunststoffe;Tonnen;0.0
2022;2763;Arlesheim;Öle;kg pro Einw.;0.0
2022;2763;Arlesheim;Öle;Tonnen;0.0
2022;2763;Arlesheim;Papier + Karton;kg pro Einw.;45.16875602700096
2022;2763;Arlesheim;Papier + Karton;Tonnen;421.55999999999995
2022;2763;Arlesheim;übrige Metalle;kg pro Einw.;0.0
2022;2763;Arlesheim;übrige Metalle;Tonnen;0.0
2022;2763;Arlesheim;Weissblech + Alu;kg pro Einw.;1.2289724633022607
2022;2763;Arlesheim;Weissblech + Alu;Tonnen;11.47
2022;2764;Biel-Benken;Glas;kg pro Einw.;32.425619834710744
2022;2764;Biel-Benken;Glas;Tonnen;117.705
2022;2764;Biel-Benken;Grüngut;kg pro Einw.;90.9090909090909
2022;2764;Biel-Benken;Grüngut;Tonnen;330.0
2022;2764;Biel-Benken;Hauskehricht + Sperrgut;kg pro Einw.;140.71625344352614
2022;2764;Biel-Benken;Hauskehricht + Sperrgut;Tonnen;510.79999999999995
2022;2764;Biel-Benken;Kunststoffe;kg pro Einw.;0.1377410468319559
2022;2764;Biel-Benken;Kunststoffe;Tonnen;0.5
2022;2764;Biel-Benken;Öle;kg pro Einw.;0.4126721763085399
2022;2764;Biel-Benken;Öle;Tonnen;1.498
2022;2764;Biel-Benken;Papier + Karton;kg pro Einw.;56.484848484848484
2022;2764;Biel-Benken;Papier + Karton;Tonnen;205.04
2022;2764;Biel-Benken;übrige Metalle;kg pro Einw.;1.785123966942149
2022;2764;Biel-Benken;übrige Metalle;Tonnen;6.48
2022;2764;Biel-Benken;Weissblech + Alu;kg pro Einw.;1.662534435261708
2022;2764;Biel-Benken;Weissblech + Alu;Tonnen;6.035
2022;2765;Binningen;Glas;kg pro Einw.;26.024126823722607
2022;2765;Binningen;Glas;Tonnen;412.04
2022;2765;Binningen;Grüngut;kg pro Einw.;85.87507105412746
2022;2765;Binningen;Grüngut;Tonnen;1359.66
2022;2765;Binningen;Hauskehricht + Sperrgut;kg pro Einw.;134.27651108444388
2022;2765;Binningen;Hauskehricht + Sperrgut;Tonnen;2126.0
2022;2765;Binningen;Kunststoffe;kg pro Einw.;0.0
2022;2765;Binningen;Kunststoffe;Tonnen;0.0
2022;2765;Binningen;Öle;kg pro Einw.;0.0768647761005495
2022;2765;Binningen;Öle;Tonnen;1.217
2022;2765;Binningen;Papier + Karton;kg pro Einw.;55.0855807490684
2022;2765;Binningen;Papier + Karton;Tonnen;872.17
2022;2765;Binningen;übrige Metalle;kg pro Einw.;1.9724625781595402
2022;2765;Binningen;übrige Metalle;Tonnen;31.23
2022;2765;Binningen;Weissblech + Alu;kg pro Einw.;1.7577212151834773
2022;2765;Binningen;Weissblech + Alu;Tonnen;27.83
2022;2766;Birsfelden;Glas;kg pro Einw.;30.997405592389736
2022;2766;Birsfelden;Glas;Tonnen;322.59
2022;2766;Birsfelden;Grüngut;kg pro Einw.;28.457768809455178
2022;2766;Birsfelden;Grüngut;Tonnen;296.16
2022;2766;Birsfelden;Hauskehricht + Sperrgut;kg pro Einw.;143.15556836744497
2022;2766;Birsfelden;Hauskehricht + Sperrgut;Tonnen;1489.82
2022;2766;Birsfelden;Kunststoffe;kg pro Einw.;0.0
2022;2766;Birsfelden;Kunststoffe;Tonnen;0.0
2022;2766;Birsfelden;Öle;kg pro Einw.;0.0
2022;2766;Birsfelden;Öle;Tonnen;0.0
2022;2766;Birsfelden;Papier + Karton;kg pro Einw.;46.02863457288363
2022;2766;Birsfelden;Papier + Karton;Tonnen;479.02
2022;2766;Birsfelden;übrige Metalle;kg pro Einw.;0.19890458345344478
2022;2766;Birsfelden;übrige Metalle;Tonnen;2.07
2022;2766;Birsfelden;Weissblech + Alu;kg pro Einw.;3.076775247429615
2022;2766;Birsfelden;Weissblech + Alu;Tonnen;32.02
2022;2767;Bottmingen;Glas;kg pro Einw.;45.19025224454896
2022;2767;Bottmingen;Glas;Tonnen;317.1
2022;2767;Bottmingen;Grüngut;kg pro Einw.;79.71782813168019
2022;2767;Bottmingen;Grüngut;Tonnen;559.38
