jahr;quartal;gemeinde_nummer;gemeinde;bezirk_nummer;bezirk;nationalitaet_code;nationalitaet;konfession_code;konfession;anzahl_personen
2012;4;2893;Reigoldswil;1305;Bezirk Waldenburg;1;Schweiz;3;Christkatholisch;4
2012;4;2893;Reigoldswil;1305;Bezirk Waldenburg;1;Schweiz;4;Unbekannt;324
2012;4;2893;Reigoldswil;1305;Bezirk Waldenburg;2;Ausland;1;Evangelisch-reformiert;14
2012;4;2893;Reigoldswil;1305;Bezirk Waldenburg;2;Ausland;2;Römisch-katholisch;42
2012;4;2893;Reigoldswil;1305;Bezirk Waldenburg;2;Ausland;3;Christkatholisch;1
2012;4;2893;Reigoldswil;1305;Bezirk Waldenburg;2;Ausland;4;Unbekannt;119
2012;4;2894;Titterten;1305;Bezirk Waldenburg;1;Schweiz;1;Evangelisch-reformiert;270
2012;4;2894;Titterten;1305;Bezirk Waldenburg;1;Schweiz;2;Römisch-katholisch;22
2012;4;2894;Titterten;1305;Bezirk Waldenburg;1;Schweiz;4;Unbekannt;96
2012;4;2894;Titterten;1305;Bezirk Waldenburg;2;Ausland;1;Evangelisch-reformiert;5
2012;4;2894;Titterten;1305;Bezirk Waldenburg;2;Ausland;2;Römisch-katholisch;7
2012;4;2894;Titterten;1305;Bezirk Waldenburg;2;Ausland;4;Unbekannt;17
2012;4;2895;Waldenburg;1305;Bezirk Waldenburg;1;Schweiz;1;Evangelisch-reformiert;489
2012;4;2895;Waldenburg;1305;Bezirk Waldenburg;1;Schweiz;2;Römisch-katholisch;166
2012;4;2895;Waldenburg;1305;Bezirk Waldenburg;1;Schweiz;3;Christkatholisch;1
2012;4;2895;Waldenburg;1305;Bezirk Waldenburg;1;Schweiz;4;Unbekannt;203
2012;4;2895;Waldenburg;1305;Bezirk Waldenburg;2;Ausland;1;Evangelisch-reformiert;25
2012;4;2895;Waldenburg;1305;Bezirk Waldenburg;2;Ausland;2;Römisch-katholisch;73
2012;4;2895;Waldenburg;1305;Bezirk Waldenburg;2;Ausland;4;Unbekannt;239
2012;3;2761;Aesch (BL);1301;Bezirk Arlesheim;1;Schweiz;1;Evangelisch-reformiert;2302
2012;3;2761;Aesch (BL);1301;Bezirk Arlesheim;1;Schweiz;2;Römisch-katholisch;3072
2012;3;2761;Aesch (BL);1301;Bezirk Arlesheim;1;Schweiz;3;Christkatholisch;18
2012;3;2761;Aesch (BL);1301;Bezirk Arlesheim;1;Schweiz;4;Unbekannt;2525
2012;3;2761;Aesch (BL);1301;Bezirk Arlesheim;2;Ausland;1;Evangelisch-reformiert;110
2012;3;2761;Aesch (BL);1301;Bezirk Arlesheim;2;Ausland;2;Römisch-katholisch;908
2012;3;2761;Aesch (BL);1301;Bezirk Arlesheim;2;Ausland;3;Christkatholisch;3
2012;3;2761;Aesch (BL);1301;Bezirk Arlesheim;2;Ausland;4;Unbekannt;1378
2012;3;2762;Allschwil;1301;Bezirk Arlesheim;1;Schweiz;1;Evangelisch-reformiert;4692
2012;3;2762;Allschwil;1301;Bezirk Arlesheim;1;Schweiz;2;Römisch-katholisch;4355
2012;3;2762;Allschwil;1301;Bezirk Arlesheim;1;Schweiz;3;Christkatholisch;214
2012;3;2762;Allschwil;1301;Bezirk Arlesheim;1;Schweiz;4;Unbekannt;6006
2012;3;2762;Allschwil;1301;Bezirk Arlesheim;2;Ausland;1;Evangelisch-reformiert;314
2012;3;2762;Allschwil;1301;Bezirk Arlesheim;2;Ausland;2;Römisch-katholisch;1218
2012;3;2762;Allschwil;1301;Bezirk Arlesheim;2;Ausland;3;Christkatholisch;9
2012;3;2762;Allschwil;1301;Bezirk Arlesheim;2;Ausland;4;Unbekannt;3056
2012;3;2763;Arlesheim;1301;Bezirk Arlesheim;1;Schweiz;1;Evangelisch-reformiert;2474
2012;3;2763;Arlesheim;1301;Bezirk Arlesheim;1;Schweiz;2;Römisch-katholisch;2247
2012;3;2763;Arlesheim;1301;Bezirk Arlesheim;1;Schweiz;3;Christkatholisch;26
