id_name,category,price_chf,old_price,sellable_online,link,other_colors,description,designer,width,length,depth
80155205_STIG,Bar furniture,17.25,No old price,TRUE,https://www.ikea.com/sa/en/p/stig-bar-stool-with-backrest-black-silver-colour-80155205/,Yes,"Bar stool with backrest,          74 cm",Henrik Preutz,50,100,60
30180504_NORBERG,Bar furniture,56.25,No old price,TRUE,https://www.ikea.com/sa/en/p/norberg-wall-mounted-drop-leaf-table-white-30180504/,No,"Wall-mounted drop-leaf table,          74x60 cm",Marcus Arvonen,60,43,74
10122647_INGOLF,Bar furniture,86.25,No old price,TRUE,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-10122647/,No,"Bar stool with backrest,          63 cm",Carina Bengs,45,91,40
70404875_FRANKLIN,Bar furniture,32.25,No old price,TRUE,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-70404875/,No,"Bar stool with backrest, foldable,          63 cm",K Hagberg/M Hagberg,44,95,50
50406465_FRANKLIN,Bar furniture,32.25,No old price,TRUE,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-50406465/,No,"Bar stool with backrest, foldable,          63 cm",K Hagberg/M Hagberg,44,95,50
90404879_FRANKLIN,Bar furniture,37.25,No old price,TRUE,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-90404879/,No,"Bar stool with backrest, foldable,          74 cm",K Hagberg/M Hagberg,44,103,52
121766_INGOLF,Bar furniture,98.75,No old price,TRUE,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-00121766/,No,"Bar stool with backrest,          74 cm",Carina Bengs,45,102,40
397736_NORRARYD,Bar furniture,98.75,No old price,TRUE,https://www.ikea.com/sa/en/p/norraryd-bar-stool-with-backrest-black-00397736/,No,"Bar stool with backrest,          74 cm",Nike Karlsson,47,103,46
50420329_FREKVENS,Bar furniture,44.25,SR 295,TRUE,https://www.ikea.com/sa/en/p/frekvens-bar-stool-with-backrest-in-outdoor-black-50420329/,No,"Bar stool with backrest, in/outdoor,          74 cm",Nicholai Wiig Hansen,53,104,43
400550_EKEDALEN,Bar furniture,86.25,No old price,TRUE,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-brown-orrsta-light-grey-00400550/,No,"Bar stool with backrest,          75 cm",Ehlén Johansson,52,114,43
40426138_HENRIKSDAL,Bar furniture,98.75,No old price,TRUE,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-frame-dark-brown-40426138/,No,"Bar stool with backrest frame,          74 cm",Karl Malmvall,51,102,40
70246089_JANINGE,Bar furniture,148.75,No old price,TRUE,https://www.ikea.com/sa/en/p/janinge-bar-stool-white-70246089/,No,"Bar stool,          76 cm",John/Jonas/Petrus/Paul/Caroline,36,84,38
60406785_FRANKLIN,Bar furniture,37.25,No old price,TRUE,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-black-black-60406785/,No,"Bar stool with backrest, foldable,          74 cm",K Hagberg/M Hagberg,44,103,52
30352246_RÅSKOG,Bar furniture,43.75,No old price,TRUE,https://www.ikea.com/sa/en/p/raskog-bar-stool-black-30352246/,No,"Bar stool,          63 cm",Nike Karlsson,44,63,44
10281354_JANINGE,Bar furniture,148.75,No old price,TRUE,https://www.ikea.com/sa/en/p/janinge-bar-stool-grey-10281354/,No,"Bar stool,          76 cm",John/Jonas/Petrus/Paul/Caroline,36,84,38
400545_EKEDALEN,Bar furniture,86.25,No old price,TRUE,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-white-orrsta-light-grey-00400545/,No,"Bar stool with backrest,          75 cm",Ehlén Johansson,51,114,43
10400540_EKEDALEN,Bar furniture,86.25,No old price,TRUE,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-dark-brown-orrsta-light-grey-10400540/,No,"Bar stool with backrest,          75 cm",Ehlén Johansson,52,114,43
90319918_HENRIKSDAL,Bar furniture,173.75,No old price,TRUE,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-brown-black-glose-black-90319918/,No,"Bar stool with backrest,          74 cm",Karl Malmvall,51,102,40
39184324_HENRIKSDAL,Bar furniture,108.75,No old price,TRUE,https://www.ikea.com/sa/en/p/henriksdal-bar-stool-with-backrest-brown-black-graesbo-white-s39184324/,No,"Bar stool with backrest,          74 cm",IKEA of Sweden/Karl Malmvall,51,102,40
20429010_NORRÅKER,Bar furniture,98.75,No old price,TRUE,https://www.ikea.com/sa/en/p/norraker-bar-stool-with-backrest-birch-20429010/,Yes,"Bar stool with backrest,          74 cm",J Karlsson/N Karlsson,48,100,42
80369112_NORDVIKEN,Bar furniture,68.75,No old price,FALSE,https://www.ikea.com/sa/en/p/nordviken-bar-stool-with-backrest-black-80369112/,No,"Bar stool with backrest,          75 cm",Francis Cayouette,47,101,40
272656_BERNHARD,Bar furniture,186.25,No old price,TRUE,https://www.ikea.com/sa/en/p/bernhard-bar-stool-with-backrest-chrome-plated-mjuk-kavat-white-00272656/,No,"Bar stool with backrest,          66 cm",Ola Wihlborg,50,90,48
30135658_GLENN,Bar furniture,111.25,No old price,TRUE,https://www.ikea.com/sa/en/p/glenn-bar-stool-white-chrome-plated-30135658/,Yes,"Bar stool,          77 cm",Marcus Arvonen,52,100,50
30308395_RÅSKOG,Bar furniture,43.75,No old price,TRUE,https://www.ikea.com/sa/en/p/raskog-bar-stool-beige-30308395/,No,"Bar stool,          63 cm",Nike Karlsson,44,63,44
